epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6521.29,1.80944,1.36638,2.26158,0.80617,0.79682,0.86067,0.57456,2.33101,1.67305,2.56012,0.000332036,0.000332036,0.000332036
2,12878.2,2.02659,1.64976,2.37985,0.79168,0.75006,0.8294,0.54259,2.37345,1.78437,2.58053,0.000599498,0.000599498,0.000599498
3,17895.6,2.15024,1.77407,2.44492,0.77463,0.74678,0.82245,0.52776,2.45893,1.9106,2.70085,0.00080096,0.00080096,0.00080096
4,21870.5,2.16558,1.83381,2.46142,0.70901,0.74575,0.7836,0.49102,2.59263,2.20663,2.81272,0.000703,0.000703,0.000703
5,28094.6,2.11417,1.7427,2.4299,0.84908,0.80063,0.88819,0.57906,2.37291,1.55364,2.56687,0.000604,0.000604,0.000604
6,34355.7,2.0371,1.63131,2.37328,0.84565,0.79146,0.88016,0.5907,2.33217,1.57942,2.55649,0.000505,0.000505,0.000505
7,40595.7,1.97235,1.53402,2.3491,0.82221,0.81559,0.88878,0.60873,2.24152,1.51008,2.48486,0.000406,0.000406,0.000406
8,46849.2,1.90652,1.44487,2.30757,0.83533,0.85414,0.8977,0.61819,2.169,1.40441,2.42085,0.000307,0.000307,0.000307
9,53125.9,1.83792,1.33487,2.25969,0.85929,0.84721,0.90861,0.63091,2.15907,1.31386,2.43271,0.000208,0.000208,0.000208
10,59387.1,1.7702,1.2775,2.23519,0.85746,0.87132,0.91108,0.64953,2.08784,1.24615,2.35534,0.000109,0.000109,0.000109
