epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6342.39,1.73618,1.23145,2.21736,0.836,0.83983,0.89507,0.62121,2.22933,1.40801,2.48915,0.000332036,0.000332036,0.000332036
2,12722.9,1.89767,1.40916,2.29203,0.79171,0.78041,0.83684,0.55252,2.39482,1.68858,2.65351,0.000599498,0.000599498,0.000599498
3,19033.8,1.99359,1.54775,2.34729,0.76302,0.7681,0.81966,0.52118,2.50993,1.92352,2.73163,0.00080096,0.00080096,0.00080096
4,25320.3,2.0116,1.59298,2.3654,0.839,0.7621,0.85673,0.54187,2.45418,1.73328,2.67938,0.000703,0.000703,0.000703
