epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3973.42,2.62798,7.47024,2.90322,0.28033,0.27174,0.21113,0.09557,3.18149,11.6705,3.51091,0.000332036,0.000332036,0.000332036
2,7954.41,2.64206,5.34159,2.78736,0.39938,0.43245,0.34444,0.16089,3.11165,7.19142,3.46172,0.000632434,0.000632434,0.000632434
3,11934.4,2.65608,4.41546,2.77407,0.45791,0.50311,0.43263,0.19861,3.19335,5.49547,3.50632,0.000899831,0.000899831,0.000899831
4,15896,2.6305,3.89777,2.74595,0.51671,0.46824,0.44859,0.2278,3.14369,4.74035,3.41002,0.0008515,0.0008515,0.0008515
5,19894.4,2.55745,3.53831,2.69231,0.55609,0.60094,0.58535,0.3067,3.01957,3.56281,3.21669,0.000802,0.000802,0.000802
6,23899.3,2.4945,3.29861,2.65364,0.52741,0.64974,0.61515,0.33906,2.79126,3.29497,3.02599,0.0007525,0.0007525,0.0007525
7,27912.7,2.44689,3.1143,2.61731,0.69178,0.65089,0.70128,0.40804,2.74867,2.71644,2.95146,0.000703,0.000703,0.000703
8,31912.5,2.40355,2.95933,2.58305,0.67796,0.67281,0.70931,0.41855,2.6878,2.71659,2.94406,0.0006535,0.0006535,0.0006535
9,35941.4,2.34612,2.84412,2.55083,0.73115,0.69566,0.75303,0.45604,2.54811,2.50918,2.76359,0.000604,0.000604,0.000604
10,39940.3,2.2864,2.71426,2.50914,0.74637,0.69027,0.76384,0.45765,2.66279,2.42465,2.85565,0.0005545,0.0005545,0.0005545
11,43924.9,2.28466,2.29246,2.57251,0.76485,0.73997,0.8148,0.51034,2.46873,2.09434,2.71362,0.000505,0.000505,0.000505
12,47898.1,2.21393,2.16556,2.53555,0.74866,0.71811,0.79406,0.50071,2.50392,2.08549,2.73041,0.0004555,0.0004555,0.0004555
13,51872.3,2.18791,2.04134,2.49617,0.76232,0.77119,0.83092,0.54439,2.38538,1.92174,2.63492,0.000406,0.000406,0.000406
14,55838,2.10931,1.92434,2.4563,0.83264,0.72909,0.83918,0.53815,2.3974,1.88968,2.62642,0.0003565,0.0003565,0.0003565
15,59804.5,2.05771,1.81381,2.42387,0.79208,0.77847,0.84887,0.56369,2.33175,1.71531,2.56655,0.000307,0.000307,0.000307
16,63791,2.00802,1.73045,2.37873,0.83722,0.75698,0.85264,0.57533,2.27842,1.72624,2.5302,0.0002575,0.0002575,0.0002575
17,67774,1.97748,1.67142,2.37507,0.82556,0.80299,0.88188,0.60315,2.22162,1.56354,2.50728,0.000208,0.000208,0.000208
18,71762.7,1.94032,1.61326,2.34116,0.85184,0.78794,0.88179,0.61463,2.18035,1.50904,2.44295,0.0001585,0.0001585,0.0001585
19,75765.4,1.88944,1.52425,2.31794,0.83545,0.81542,0.88209,0.61706,2.14848,1.47489,2.41934,0.000109,0.000109,0.000109
20,79763.5,1.84541,1.47139,2.28722,0.85854,0.81327,0.89655,0.63398,2.11028,1.42396,2.4014,5.95e-05,5.95e-05,5.95e-05
