epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3995.59,2.62798,7.47024,2.90322,0.28033,0.27174,0.21113,0.09557,3.18149,11.6705,3.51091,0.000332036,0.000332036,0.000332036
2,7967.79,2.64206,5.34159,2.78736,0.39938,0.43245,0.34444,0.16089,3.11165,7.19142,3.46172,0.000632434,0.000632434,0.000632434
3,11950,2.65608,4.41546,2.77407,0.45791,0.50311,0.43263,0.19861,3.19335,5.49547,3.50632,0.000899831,0.000899831,0.000899831
