epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6227.54,1.73618,1.23145,2.21736,0.836,0.83983,0.89507,0.62121,2.22933,1.40801,2.48915,0.000332036,0.000332036,0.000332036
2,12522,1.89767,1.40916,2.29203,0.79171,0.78041,0.83684,0.55252,2.39482,1.68858,2.65351,0.000599498,0.000599498,0.000599498
3,18757.8,1.99359,1.54775,2.34729,0.76302,0.7681,0.81966,0.52118,2.50993,1.92352,2.73163,0.00080096,0.00080096,0.00080096
4,24991.9,2.0116,1.59298,2.3654,0.839,0.7621,0.85673,0.54187,2.45418,1.73328,2.67938,0.000703,0.000703,0.000703
5,31268.4,1.96294,1.53828,2.33853,0.82894,0.79367,0.8658,0.57242,2.38137,1.549,2.60409,0.000604,0.000604,0.000604
6,37493.8,1.89403,1.43569,2.29209,0.85874,0.80496,0.89245,0.597,2.31308,1.49578,2.5625,0.000505,0.000505,0.000505
7,43707.5,1.86334,1.33869,2.28249,0.85622,0.84437,0.9097,0.62998,2.20648,1.37158,2.47772,0.000406,0.000406,0.000406
8,49928,1.80867,1.28277,2.24834,0.86627,0.83752,0.91161,0.64604,2.13829,1.32045,2.41548,0.000307,0.000307,0.000307
9,54235.9,1.73695,1.19878,2.19545,0.87838,0.83862,0.91301,0.65422,2.12183,1.2433,2.41764,0.000208,0.000208,0.000208
10,58120.4,1.70465,1.17657,2.19489,0.86248,0.8532,0.91265,0.65455,2.09454,1.21337,2.38699,0.000109,0.000109,0.000109
